"sum","time","diff"
"2129","1750265384602","-1"
"2139","1750265384602","1"
"2139","1750265385602","-1"
"2149","1750265385602","1"
"2149","1750265386602","-1"
"2159","1750265386602","1"
"2159","1750265387602","-1"
"2169","1750265387602","1"
"2169","1750265388602","-1"
"2179","1750265388602","1"
"2179","1750265389602","-1"
"2189","1750265389602","1"
"2189","1750265390602","-1"
"2199","1750265390602","1"
"2199","1750265391602","-1"
"2209","1750265391602","1"
"2209","1750265392602","-1"
"2219","1750265392602","1"
"2219","1750265393602","-1"
"2229","1750265393602","1"
"2229","1750265394602","-1"
"2239","1750265394602","1"
"2239","1750265395602","-1"
"2249","1750265395602","1"
"2249","1750265396602","-1"
"2259","1750265396602","1"
"2259","1750265397602","-1"
"2269","1750265397602","1"
"2269","1750265398602","-1"
"2279","1750265398602","1"
"2279","1750265399602","-1"
"2289","1750265399602","1"
"2289","1750265400602","-1"
"2299","1750265400602","1"
"2299","1750265401602","-1"
"2309","1750265401602","1"
"2309","1750265402602","-1"
"2318","1750265402602","1"
"2318","1750265403602","-1"
"2328","1750265403602","1"
"2328","1750265404602","-1"
"2338","1750265404602","1"
"2338","1750265405602","-1"
"2348","1750265405602","1"
"2348","1750265406602","-1"
"2358","1750265406602","1"
"2358","1750265407602","-1"
"2368","1750265407602","1"
"2368","1750265408602","-1"
"2378","1750265408602","1"
"2378","1750265409602","-1"
"2388","1750265409602","1"
"2388","1750265410602","-1"
"2398","1750265410602","1"
"2398","1750265411602","-1"
"2408","1750265411602","1"
"2408","1750265412602","-1"
"2418","1750265412602","1"
"2418","1750265413602","-1"
"2428","1750265413602","1"
"2428","1750265414602","-1"
"2438","1750265414602","1"
"2438","1750265415602","-1"
"2448","1750265415602","1"
"2448","1750265416602","-1"
"2458","1750265416602","1"
"2458","1750265417602","-1"
"2468","1750265417602","1"
"2468","1750265418602","-1"
"2478","1750265418602","1"
"2478","1750265419602","-1"
"2488","1750265419602","1"
"2488","1750265420602","-1"
"2498","1750265420602","1"
"2498","1750265421602","-1"
"2508","1750265421602","1"
"2508","1750265422602","-1"
"2518","1750265422602","1"
"2518","1750265423602","-1"
"2527","1750265423602","1"
"2527","1750265424602","-1"
"2537","1750265424602","1"
"2537","1750265425602","-1"
"2547","1750265425602","1"
"2547","1750265426602","-1"
"2557","1750265426602","1"
"2557","1750265427602","-1"
"2567","1750265427602","1"
"2567","1750265428602","-1"
"2577","1750265428602","1"
"2577","1750265429602","-1"
"2587","1750265429602","1"
"2587","1750265430602","-1"
"2597","1750265430602","1"
"2597","1750265431602","-1"
"2607","1750265431602","1"
"2607","1750265432602","-1"
"2617","1750265432602","1"
"2617","1750265433602","-1"
"2627","1750265433602","1"
"2627","1750265434602","-1"
"2637","1750265434602","1"
"2637","1750265435602","-1"
"2647","1750265435602","1"
"2647","1750265436602","-1"
"2657","1750265436602","1"
"2657","1750265437602","-1"
"2667","1750265437602","1"
"2667","1750265438602","-1"
"2677","1750265438602","1"
"2677","1750265439602","-1"
"2687","1750265439602","1"
"2687","1750265440602","-1"
"2697","1750265440602","1"
"2697","1750265441602","-1"
"2707","1750265441602","1"
"2707","1750265442602","-1"
"2717","1750265442602","1"
"2717","1750265443602","-1"
"2727","1750265443602","1"
"2727","1750265444602","-1"
"2736","1750265444602","1"
"2736","1750265445602","-1"
"2746","1750265445602","1"
"2746","1750265446602","-1"
"2756","1750265446602","1"
"2756","1750265447602","-1"
"2766","1750265447602","1"
"2766","1750265448602","-1"
"2776","1750265448602","1"
"2776","1750265449602","-1"
"2786","1750265449602","1"
"2786","1750265450602","-1"
"2796","1750265450602","1"
"2796","1750265451602","-1"
"2806","1750265451602","1"
"2806","1750265452602","-1"
"2816","1750265452602","1"
"2816","1750265453602","-1"
"2826","1750265453602","1"
"2826","1750265454602","-1"
"2836","1750265454602","1"
"2836","1750265455602","-1"
"2846","1750265455602","1"
"2846","1750265456602","-1"
"2856","1750265456602","1"
"2856","1750265457602","-1"
"2866","1750265457602","1"
"2866","1750265458602","-1"
